"SH","2","","","","6/20/2019 11:20:47 AM","6/20/2019 11:21:12 AM","","","","M:\Name\ATran\64889\STRUCTURAL\PLAN\4889_PLAN 6.dwg","S-6.1A","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\AppData\Local\Temp\GEPrinting\Plots\4889_PLAN 6_dwg\S-6.1A.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","2","","","","","6/20/2019 11:21:12 AM","","","","","","","","","","","","Plotted"
"JS","2","","","","6/20/2019 11:22:00 AM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","2","","","","6/20/2019 11:22:00 AM","6/20/2019 11:22:12 AM","","","","M:\Name\ATran\64889\STRUCTURAL\PLAN\4889_PLAN 6.dwg","S-6.4","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\AppData\Local\Temp\GEPrinting\Plots\4889_PLAN 6_dwg\S-6.4.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","2","","","","","6/20/2019 11:22:12 AM","","","","","","","","","","","","Plotted"
"JS","3","","","","6/20/2019 11:22:39 AM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","3","","","","6/20/2019 11:22:39 AM","6/20/2019 11:22:49 AM","","","","M:\Name\ATran\64889\STRUCTURAL\PLAN\4889_PLAN 6.dwg","S-6.2","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\AppData\Local\Temp\GEPrinting\Plots\4889_PLAN 6_dwg\S-6.2.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","3","","","","","6/20/2019 11:22:49 AM","","","","","","","","","","","","Plotted"
"JS","3","","","","6/20/2019 11:23:32 AM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","3","","","","6/20/2019 11:23:32 AM","6/20/2019 11:23:38 AM","","","","M:\Name\ATran\64889\STRUCTURAL\PLAN\4889_PLAN 6.dwg","S-6.5","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\AppData\Local\Temp\GEPrinting\Plots\4889_PLAN 6_dwg\S-6.5.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","3","","","","","6/20/2019 11:23:38 AM","","","","","","","","","","","","Plotted"
"JS","1","","","","6/20/2019 11:25:08 AM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","1","","","","6/20/2019 11:25:08 AM","6/20/2019 11:25:13 AM","","","","M:\Name\ATran\64889\STRUCTURAL\PLAN\4889_PLAN 6.dwg","S-6.6","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\AppData\Local\Temp\GEPrinting\Plots\4889_PLAN 6_dwg\S-6.6.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","1","","","","","6/20/2019 11:25:13 AM","","","","","","","","","","","","Plotted"
"JS","2","","","","6/20/2019 11:25:59 AM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","2","","","","6/20/2019 11:25:59 AM","6/20/2019 11:26:01 AM","","","","M:\Name\ATran\64889\STRUCTURAL\PLAN\4889_PLAN 6.dwg","S-6.7","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\AppData\Local\Temp\GEPrinting\Plots\4889_PLAN 6_dwg\S-6.7.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
