"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"SH","2","","","","9/5/2018 3:06:06 PM","9/5/2018 3:07:06 PM","","","3893_BD2-4-S-2.4","G:\63893\Building\3893_BD2-4.dwg","S-2.4","OCE 30x42","I:\library\templates\paper\PLAN_FILE.dwt","AutoCAD PDF (General Documentation).pc3","C:\Users\dngo\Documents\3893_BD1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted with Warning(s)","WARNING: Incompatible or missing plot style "
"JF","2","","","","","9/5/2018 3:07:07 PM","","","","","","","","","","","","Plotted with Warning(s)"
"JS","3","","","","9/5/2018 3:09:17 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","3","","","","9/5/2018 3:09:24 PM","9/5/2018 3:09:59 PM","","","","G:\63893\Building\3893_BD2-4.dwg","S-2.1","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD2-4-S-2.1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","3","","","","","9/5/2018 3:09:59 PM","","","","","","","","","","","","Plotted"
"JS","4","","","","9/5/2018 3:11:59 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","4","","","","9/5/2018 3:11:59 PM","9/5/2018 3:12:43 PM","","","","G:\63893\Building\3893_BD2-4.dwg","S-2.2","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD2-4-S-2.2.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","4","","","","","9/5/2018 3:12:43 PM","","","","","","","","","","","","Plotted"
"JS","5","","","","9/5/2018 3:14:45 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","5","","","","9/5/2018 3:14:45 PM","9/5/2018 3:15:31 PM","","","","G:\63893\Building\3893_BD2-4.dwg","S-2.3","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD2-4-S-2.3.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","5","","","","","9/5/2018 3:15:31 PM","","","","","","","","","","","","Plotted"
"JS","6","","","","9/5/2018 3:19:47 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","6","","","","9/5/2018 3:19:47 PM","9/5/2018 3:20:33 PM","","","","G:\63893\Building\3893_BD2-4.dwg","S-2.4","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD2-4-S-2.4.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","6","","","","","9/5/2018 3:20:33 PM","","","","","","","","","","","","Plotted"
"JS","7","","","","9/5/2018 3:24:07 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
"SH","7","","","","9/5/2018 3:24:07 PM","9/5/2018 3:24:21 PM","","","","G:\63893\Building\3893_BD1.dwg","S-1.1","","","DWG To PDF.pc3","C:\Users\dngo\Documents\New folder\3893_BD1-S-1.1.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"JF","7","","","","","9/5/2018 3:24:21 PM","","","","","","","","","","","","Plotted"
"JS","8","","","","9/5/2018 3:27:17 PM","","dngo","<<Unnamed Profile>>","","","","","","","","","",""
